Variable,Coefficient,CI_Lower,CI_Upper,Statistically_Clear_at_95Pct
Intercept,2.9388893694594076,2.323762279233298,3.554016459685517,True
TV,0.04576464545539764,0.04301371196239753,0.04851557894839775,True
radio,0.1885300169182042,0.1715474474419117,0.2055125863944967,True
newspaper,-0.0010374930424762382,-0.012615953180270773,0.010540967095318297,False
