Model,Test_MAE,Test_RMSE,Test_R2,CV_MAE_Mean,MAE_Improvement_vs_Baseline_Pct,Is_Final_Model
中位數基準,4.7475,5.641475870727446,-0.008321493809620328,,0.0,False
原回歸模型,1.4607567168117597,1.7815996615334502,0.899438024100912,1.237076238029795,69.23103282123729,False
交互作用模型,0.6718036617450762,0.9024580782957253,0.97419715291193,0.700944118522067,85.84931728815005,True
